artist_id,name,shows,musicals
1659,赵嘉豪,750,6
982,文振宇,744,4
1083,刘勃汐,744,6
1584,朱佳艳,744,4
1034,郭禹良,736,4
3117,陈卓,736,4
757,帕赛,735,4
37,李宸希,728,7
509,徐梦,720,6
3475,吴嘉怡,714,5
966,冯文彦,705,4
1710,刘宇希,700,6
623,李昊阳,693,7
906,易群,693,5
36,马添龙,690,5
2926,刘君豪,690,6
1035,李子健,676,4
3072,申昊川,672,6
1691,李俊杰,670,5
578,葛洧吟,660,4
3567,陈佳艺,654,6
1031,鲁芳岐,650,5
3393,李伯尧,648,4
580,贾景伊,642,6
3209,唐子晗,640,4
1125,闫乐湟,635,5
958,左溢,633,3
1237,张淼龙,630,5
3073,梁庆海,630,3
491,李乐尧,620,4
3559,郭美冉,616,7
1694,刘放,612,9
3242,刘凡滔,612,4
2705,张天玮,609,6
192,王书琦,606,6
604,梁汉,595,7
574,管重昊,575,5
3754,龙一豪,574,7
41,王峙儒,573,3
1542,乐巍,572,4
263,瞿艺,567,6
972,杨博皓,565,4
2284,郑婉霞,565,4
581,赵子萌,558,5
606,陆艺火,558,6
2462,张芷妍,555,5
2082,王晶琬,544,3
2283,王佑名,539,7
1327,何若水,534,6
233,杨济连,532,6
469,贾凡,532,7
1620,钱海睿,528,6
991,汤俊军,525,4
1700,尚一航,522,6
625,赵昀迪,518,7
711,宗俊涛,504,7
277,莫海婧,490,7
917,王国栋,490,5
3075,苏锡凡,490,5
220,张梦嫣,480,5
835,黎宛曈,480,4
3048,王晨旭,480,5
3386,唐晨怡,480,6
3385,廖若彤,475,4
353,李浩楠,472,4
147,周国帅,469,7
2229,江柏成,468,2
3190,刘恒瑜,462,5
144,陆宇鹏,456,6
1161,王樵知,456,8
1411,刘丁松,456,6
3054,皮云赫,456,6
668,王富有,444,3
1921,郭泽学,444,4
2767,马凯漪,444,6
2227,梁广,440,2
759,云孟和,438,3
1587,范金锴,435,5
2017,张诗漫,435,5
3596,马啸,435,5
2906,张皓星,434,7
573,缪卓凡,430,5
228,周钰斐,428,4
2698,牟潇钰,420,5
