时间,城市,音乐剧,角色,剧院
2024-12-27 19:30,上海,阿尔托，梵高,阿尔托,星空间17号·NFP小剧场
2024-12-28 19:30,上海,阿尔托，梵高,阿尔托,星空间17号·NFP小剧场
2024-12-31 22:00,上海,小说,怀特·希斯曼,星空间115号·缪时客小剧场
2025-01-10 19:30,上海,阿尔托，梵高,阿尔托,星空间17号·NFP小剧场
2025-04-13 14:30,上海,阿尔托，梵高,阿尔托,星空间17号·NFP小剧场
2025-04-21 19:30,上海,阿尔托，梵高,阿尔托,星空间17号·NFP小剧场
2025-05-01 19:30,上海,阿尔托，梵高,阿尔托,星空间17号·NFP小剧场
2025-05-11 14:30,上海,阿尔托，梵高,阿尔托,星空间17号·NFP小剧场
2025-05-24 14:30,上海,阿尔托，梵高,阿尔托,星空间17号·NFP小剧场
2025-07-11 19:30,上海,阿尔托，梵高,阿尔托,星空间17号·NFP小剧场
2025-07-18 19:30,上海,阿尔托，梵高,阿尔托,星空间17号·NFP小剧场
2025-07-26 14:30,上海,阿尔托，梵高,阿尔托,星空间17号·NFP小剧场
2025-08-02 14:30,上海,阿尔托，梵高,阿尔托,星空间17号·NFP小剧场
2025-08-03 14:30,上海,阿尔托，梵高,阿尔托,星空间17号·NFP小剧场
2025-08-10 19:30,上海,阿尔托，梵高,阿尔托,星空间17号·NFP小剧场
2025-08-17 14:30,上海,阿尔托，梵高,阿尔托,星空间17号·NFP小剧场
2025-08-18 19:30,上海,阿尔托，梵高,阿尔托,星空间17号·NFP小剧场
2025-08-24 14:30,上海,阿尔托，梵高,阿尔托,星空间17号·NFP小剧场
2025-09-07 17:00,上海,阿尔托，梵高,阿尔托,星空间17号·NFP小剧场
2025-09-17 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-09-19 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-10-03 19:30,上海,阿尔托，梵高,阿尔托,星空间17号·NFP小剧场
2025-10-11 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-10-24 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-11-07 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-11-16 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-11-22 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-12-28 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2026-01-03 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2026-01-23 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2026-01-24 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
