时间,城市,音乐剧,角色,剧院
2023-01-07 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-02-03 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-02-12 14:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-02-14 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-02-16 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-02-19 14:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-02-22 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-02-23 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-02-24 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-02-26 14:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-03-02 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-03-04 19:30,成都,阿波罗尼亚,Oscar,西部文化产业中心·一台好戏小剧场
2023-03-05 19:30,成都,阿波罗尼亚,Oscar,西部文化产业中心·一台好戏小剧场
2023-03-09 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-03-10 19:45,深圳,使命必达,大师兄,龙华文化艺术中心影剧院
2023-03-11 19:45,深圳,使命必达,大师兄,龙华文化艺术中心影剧院
2023-03-12 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-03-17 19:30,广州,使命必达,大师兄,1974剧院
2023-03-18 19:30,广州,使命必达,大师兄,1974剧院
2023-03-19 14:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-06-01 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-06-04 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-06-07 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-06-10 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-06-13 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-06-21 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-06-27 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-06-30 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-07-06 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-07-08 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-07-09 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-07-11 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-07-12 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-07-23 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-07-25 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-07-26 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-07-29 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-07-30 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-08-05 14:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-08-08 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-08-11 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-08-12 19:30,广州,金鸣歌厅,陆一棠,金鸣歌厅
2023-08-13 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-08-15 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-08-16 19:30,广州,金鸣歌厅,陆一棠,金鸣歌厅
2023-08-17 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-08-18 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-08-20 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-08-26 19:30,广州,金鸣歌厅,陆一棠,金鸣歌厅
2023-08-27 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-09-02 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-09-03 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-09-05 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-09-07 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-09-08 20:00,广州,金鸣歌厅,陆一棠,金鸣歌厅
2023-09-10 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-09-12 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-09-14 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-09-15 20:00,广州,金鸣歌厅,陆一棠,金鸣歌厅
2023-09-17 19:30,上海,阿波罗尼亚,Oscar,星空间1号·一台好戏小剧场
2023-09-19 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-09-21 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-09-22 20:00,广州,金鸣歌厅,陆一棠,金鸣歌厅
2023-09-28 20:00,广州,金鸣歌厅,陆一棠,金鸣歌厅
2023-09-29 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-09-30 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
