时间,城市,音乐剧,角色,剧院
2022-11-12 19:30,长沙,唐朝诡事录之曼陀罗,卢凌风,梅溪湖国际文化艺术中心大剧院大剧场
2022-12-30 19:30,上海,唐朝诡事录之曼陀罗,卢凌风,上海文化广场主剧场
2022-12-31 14:00,上海,唐朝诡事录之曼陀罗,卢凌风,上海文化广场主剧场
2022-12-31 19:30,上海,唐朝诡事录之曼陀罗,卢凌风,上海文化广场主剧场
2023-01-01 19:30,上海,唐朝诡事录之曼陀罗,卢凌风,上海文化广场主剧场
2023-01-02 19:30,上海,唐朝诡事录之曼陀罗,卢凌风,上海文化广场主剧场
2023-01-06 19:30,上海,夜半歌声,宋丹萍,中国大戏院
2023-01-08 19:30,上海,夜半歌声,宋丹萍,中国大戏院
2023-01-14 14:00,上海,夜半歌声,宋丹萍,中国大戏院
2023-01-15 14:00,上海,夜半歌声,宋丹萍,中国大戏院
2023-01-15 19:30,上海,危险游戏,理查德,星空间66号·Salute小剧场
2023-01-17 19:30,上海,危险游戏,理查德,星空间66号·Salute小剧场
2023-03-22 19:30,珠海,青春禁忌游戏,瓦洛佳,珠海大剧院歌剧厅
2023-03-24 19:30,南京,我的遗愿清单,杨晓宇,南京保利大剧院大剧场
2023-03-25 14:30,南京,我的遗愿清单,杨晓宇,南京保利大剧院大剧场
2023-03-27 19:30,厦门,青春禁忌游戏,瓦洛佳,嘉庚剧院
2023-04-01 19:30,福州,青春禁忌游戏,瓦洛佳,福州大学城文化艺术中心
2023-04-29 19:30,上海,唐朝诡事录之曼陀罗,卢凌风,上海保利大剧院大剧场
2023-05-12 19:00,哈尔滨,唐朝诡事录之曼陀罗,卢凌风,哈尔滨大剧院歌剧厅
2023-05-13 19:00,哈尔滨,唐朝诡事录之曼陀罗,卢凌风,哈尔滨大剧院歌剧厅
2023-05-17 19:30,郑州,青春禁忌游戏,瓦洛佳,河南艺术中心
2023-05-19 19:30,天津,唐朝诡事录之曼陀罗,卢凌风,天津大剧院歌剧厅
2023-05-20 19:30,天津,唐朝诡事录之曼陀罗,卢凌风,天津大剧院歌剧厅
2023-06-22 15:30,西安,丝路之声,Joey,丝路欢乐世界·琴音剧场
2023-06-23 15:30,西安,丝路之声,Joey,丝路欢乐世界·琴音剧场
2023-06-24 19:30,重庆,唐朝诡事录之曼陀罗,卢凌风,重庆大剧院大剧场
2023-06-25 19:30,重庆,唐朝诡事录之曼陀罗,卢凌风,重庆大剧院大剧场
2023-07-07 19:30,苏州,灵魂摆渡之永生,夏冬青,苏州湾大剧院歌剧厅
