时间,城市,音乐剧,角色,剧院
2023-04-15 14:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-04-16 14:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-04-21 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-04-22 14:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-04-22 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-04-28 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-04-29 14:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-04-30 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-05-02 14:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-05-03 14:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-05-13 14:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-05-14 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-05-27 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-05-28 14:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-06-03 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-06-04 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-06-18 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-07-09 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-08-18 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-08-20 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-09-01 19:30,上海,阿尔托，梵高,梵高,星空间17号·NFP小剧场
2023-09-08 19:30,上海,阿尔托，梵高,梵高,星空间17号·NFP小剧场
2023-09-14 19:30,上海,阿尔托，梵高,梵高,星空间17号·NFP小剧场
2023-09-15 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-09-17 14:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-09-27 19:30,上海,阿尔托，梵高,梵高,星空间17号·NFP小剧场
2023-09-28 19:30,上海,阿尔托，梵高,梵高,星空间17号·NFP小剧场
2023-09-29 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-09-30 14:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-10-02 13:30,上海,阿尔托，梵高,梵高,星空间17号·NFP小剧场
2023-10-02 20:30,上海,阿尔托，梵高,梵高,星空间17号·NFP小剧场
2023-10-03 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-10-04 14:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-10-05 14:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-10-06 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-10-28 19:30,上海,阿尔托，梵高,梵高,星空间17号·NFP小剧场
2023-11-04 19:30,上海,阿尔托，梵高,梵高,星空间17号·NFP小剧场
2023-11-06 19:30,上海,阿尔托，梵高,梵高,星空间17号·NFP小剧场
2023-11-10 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-11-11 14:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-11-23 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-11-24 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-12-02 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-12-03 14:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-12-06 19:30,上海,阿尔托，梵高,梵高,星空间17号·NFP小剧场
2024-01-28 17:00,上海,阿尔托，梵高,博士,星空间17号·NFP小剧场
