时间,城市,音乐剧,角色,剧院
2023-02-03 20:00,广州,空中花园谋杀案,孔艳艳,广东省友谊剧院
2023-02-04 15:00,广州,空中花园谋杀案,孔艳艳,广东省友谊剧院
2023-02-04 20:00,广州,空中花园谋杀案,孔艳艳,广东省友谊剧院
2023-02-09 20:00,深圳,空中花园谋杀案,孔艳艳,福田文体中心·戏剧主题馆星空剧场
2023-02-10 20:00,深圳,空中花园谋杀案,孔艳艳,福田文体中心·戏剧主题馆星空剧场
2023-02-11 14:30,深圳,空中花园谋杀案,孔艳艳,福田文体中心·戏剧主题馆星空剧场
2023-02-11 20:00,深圳,空中花园谋杀案,孔艳艳,福田文体中心·戏剧主题馆星空剧场
2023-02-12 14:30,深圳,空中花园谋杀案,孔艳艳,福田文体中心·戏剧主题馆星空剧场
2023-02-23 19:30,杭州,空中花园谋杀案,孔艳艳,杭州蜂巢剧场(杭杂小剧场)
2023-02-24 19:30,杭州,空中花园谋杀案,孔艳艳,杭州蜂巢剧场(杭杂小剧场)
2023-02-25 14:30,杭州,空中花园谋杀案,孔艳艳,杭州蜂巢剧场(杭杂小剧场)
2023-02-25 19:30,杭州,空中花园谋杀案,孔艳艳,杭州蜂巢剧场(杭杂小剧场)
2023-02-26 14:30,杭州,空中花园谋杀案,孔艳艳,杭州蜂巢剧场(杭杂小剧场)
2023-03-02 19:30,杭州,空中花园谋杀案,孔艳艳,杭州蜂巢剧场(杭杂小剧场)
2023-03-03 19:30,杭州,空中花园谋杀案,孔艳艳,杭州蜂巢剧场(杭杂小剧场)
2023-03-04 14:30,杭州,空中花园谋杀案,孔艳艳,杭州蜂巢剧场(杭杂小剧场)
2023-03-04 19:30,杭州,空中花园谋杀案,孔艳艳,杭州蜂巢剧场(杭杂小剧场)
2023-03-05 14:30,杭州,空中花园谋杀案,孔艳艳,杭州蜂巢剧场(杭杂小剧场)
2023-03-22 19:30,北京,空中花园谋杀案,孔艳艳,蜂巢剧场
2023-03-23 19:30,北京,空中花园谋杀案,孔艳艳,蜂巢剧场
2023-03-24 19:30,北京,空中花园谋杀案,孔艳艳,蜂巢剧场
2023-03-25 14:30,北京,空中花园谋杀案,孔艳艳,蜂巢剧场
2023-03-25 19:30,北京,空中花园谋杀案,孔艳艳,蜂巢剧场
2023-03-26 14:30,北京,空中花园谋杀案,孔艳艳,蜂巢剧场
