时间,城市,音乐剧,角色,剧院
2022-08-13 20:00,福州,南唐后主,潘佑,福州海峡文化艺术中心-歌剧厅
2022-08-14 20:00,福州,南唐后主,潘佑,福州海峡文化艺术中心-歌剧厅
2022-08-18 19:30,东莞,南唐后主,潘佑,东莞玉兰大剧院
2022-08-19 19:30,东莞,南唐后主,潘佑,东莞玉兰大剧院
2023-01-06 19:30,上海,灯塔,怀恩,星空间9号·鲸剧场
2023-01-07 14:00,上海,南唐后主,潘佑,艺海剧院大剧场
2023-01-08 19:30,上海,灯塔,怀恩,星空间9号·鲸剧场
2023-01-14 14:00,上海,南唐后主,潘佑,艺海剧院大剧场
2023-01-27 19:30,上海,灯塔,怀恩,星空间9号·鲸剧场
2023-02-10 19:30,上海,灯塔,怀恩,星空间9号·鲸剧场
2023-02-11 19:30,上海,灯塔,怀恩,星空间9号·鲸剧场
2023-02-18 19:30,上海,灯塔,怀恩,星空间9号·鲸剧场
2023-02-25 19:30,上海,灯塔,怀恩,星空间9号·鲸剧场
2023-03-02 19:30,上海,小说,怀特·希斯曼,星空间115号·缪时客小剧场
2023-03-03 19:30,苏州,南唐后主,潘佑,苏州文化艺术中心大剧院
2023-03-04 19:30,苏州,南唐后主,潘佑,苏州文化艺术中心大剧院
2023-03-10 19:30,上海,灯塔,怀恩,星空间9号·鲸剧场
2023-03-11 14:30,上海,灯塔,怀恩,星空间9号·鲸剧场
2023-03-12 19:30,上海,灯塔,怀恩,星空间9号·鲸剧场
2023-03-17 19:30,上海,灯塔,怀恩,星空间9号·鲸剧场
2023-03-19 14:30,上海,灯塔,怀恩,星空间9号·鲸剧场
2023-03-31 19:30,上海,小说,怀特·希斯曼,星空间115号·缪时客小剧场
2023-04-01 14:30,上海,灯塔,怀恩,星空间9号·鲸剧场
2023-04-05 19:30,上海,灯塔,怀恩,星空间9号·鲸剧场
2023-04-20 19:30,上海,小说,怀特·希斯曼,星空间115号·缪时客小剧场
2023-04-21 19:30,上海,灯塔,怀恩,星空间9号·鲸剧场
2023-04-22 14:30,上海,灯塔,怀恩,星空间9号·鲸剧场
2023-04-30 16:30,上海,小说,怀特·希斯曼,星空间115号·缪时客小剧场
2023-04-30 19:30,上海,小说,怀特·希斯曼,星空间115号·缪时客小剧场
2023-05-02 19:30,上海,灯塔,怀恩,星空间9号·鲸剧场
2023-05-12 19:30,上海,灯塔,怀恩,星空间9号·鲸剧场
2023-05-27 19:30,上海,灯塔,怀恩,星空间9号·鲸剧场
2023-05-28 14:30,上海,灯塔,怀恩,星空间9号·鲸剧场
2023-05-30 19:30,上海,南墙计划,德华,人民大舞台
2023-06-01 19:30,上海,南墙计划,德华,人民大舞台
2023-06-02 19:30,上海,南墙计划,德华,人民大舞台
2023-06-03 14:30,上海,灯塔,怀恩,星空间9号·鲸剧场
