时间,城市,音乐剧,角色,剧院
2023-01-01 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-01-02 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-01-02 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-02-12 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-02-14 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-02-17 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-02-19 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-02-24 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-02-25 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-02-26 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-03-04 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-03-05 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-03-11 14:30,北京,致命旋律,杰弗瑞,开心麻花磁剧场
2023-03-11 19:30,北京,致命旋律,杰弗瑞,开心麻花磁剧场
2023-03-12 14:30,北京,致命旋律,杰弗瑞,开心麻花磁剧场
2023-03-12 19:30,北京,致命旋律,杰弗瑞,开心麻花磁剧场
2023-04-07 14:00,北京,丝路之声,老班头,中央歌剧院剧场
2023-04-07 19:30,北京,丝路之声,老班头,中央歌剧院剧场
2023-04-08 19:30,北京,丝路之声,老班头,中央歌剧院剧场
2023-04-15 14:30,北京,致命旋律,杰弗瑞,开心麻花磁剧场
2023-04-15 19:30,北京,致命旋律,杰弗瑞,开心麻花磁剧场
2023-04-16 14:30,北京,致命旋律,杰弗瑞,开心麻花磁剧场
2023-04-22 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-04-22 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-04-29 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-04-29 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-05-03 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-05-13 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-05-20 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-05-21 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-05-28 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-05-28 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-06-02 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-06-03 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-06-03 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-06-04 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-06-10 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-06-16 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-06-17 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-06-18 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-06-23 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-06-24 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-07-16 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-07-21 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-07-23 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-07-28 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-07-29 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-07-29 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-07-30 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-07-30 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-08-11 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-08-18 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-08-19 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-08-20 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-08-20 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-08-26 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-08-27 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-09-02 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-09-03 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-09-16 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-09-17 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-09-17 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-09-23 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-09-23 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-10-04 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-10-06 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-10-13 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-10-14 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-10-14 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-10-15 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-10-20 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
