时间,城市,音乐剧,角色,剧院
2022-12-03 19:30,上海,基督山伯爵,瓦伦缇娜,上海文化广场主剧场
2022-12-04 14:00,上海,基督山伯爵,瓦伦缇娜,上海文化广场主剧场
2022-12-07 19:30,上海,基督山伯爵,瓦伦缇娜,上海文化广场主剧场
2022-12-08 19:30,上海,基督山伯爵,瓦伦缇娜,上海文化广场主剧场
2022-12-11 14:00,上海,基督山伯爵,瓦伦缇娜,上海文化广场主剧场
2022-12-11 19:30,上海,基督山伯爵,瓦伦缇娜,上海文化广场主剧场
2022-12-23 19:30,北京,基督山伯爵,瓦伦缇娜,天桥艺术中心大剧场
2022-12-24 14:30,北京,基督山伯爵,瓦伦缇娜,天桥艺术中心大剧场
2022-12-25 14:30,北京,基督山伯爵,瓦伦缇娜,天桥艺术中心大剧场
2022-12-25 19:30,北京,基督山伯爵,瓦伦缇娜,天桥艺术中心大剧场
2022-12-26 19:30,北京,基督山伯爵,瓦伦缇娜,天桥艺术中心大剧场
2023-01-06 19:30,广州,基督山伯爵,瓦伦缇娜,广州大剧院歌剧厅
2023-01-08 14:30,广州,基督山伯爵,瓦伦缇娜,广州大剧院歌剧厅
2023-01-08 19:30,广州,基督山伯爵,瓦伦缇娜,广州大剧院歌剧厅
2023-03-31 19:00,沈阳,人间失格,祝子,盛京大剧院歌剧厅
2023-04-01 19:00,沈阳,人间失格,祝子,盛京大剧院歌剧厅
2023-04-07 19:30,太原,人间失格,祝子,山西大剧院大剧场
2023-04-08 19:30,太原,人间失格,祝子,山西大剧院大剧场
2023-04-14 19:30,武汉,人间失格,祝子,琴台大剧院
2023-04-15 19:30,武汉,人间失格,祝子,琴台大剧院
2023-09-03 13:30,北京,人间失格,祝子,北京保利剧院
2023-09-05 19:30,北京,人间失格,祝子,北京保利剧院
2023-09-07 19:30,北京,人间失格,祝子,北京保利剧院
2024-01-19 19:30,珠海,人间失格,祝子,珠海大剧院歌剧厅
2024-01-20 15:00,珠海,人间失格,祝子,珠海大剧院歌剧厅
2024-01-24 19:30,上海,嫌疑人X的献身,花冈美里,人民大舞台
2024-01-25 19:30,上海,嫌疑人X的献身,花冈美里,人民大舞台
2024-01-28 14:00,上海,嫌疑人X的献身,花冈美里,人民大舞台
2024-02-01 19:30,上海,嫌疑人X的献身,花冈美里,人民大舞台
2024-02-03 19:30,上海,嫌疑人X的献身,花冈美里,人民大舞台
2024-02-07 19:30,上海,嫌疑人X的献身,花冈美里,人民大舞台
2024-02-17 19:30,上海,嫌疑人X的献身,花冈美里,人民大舞台
2024-02-18 19:30,上海,嫌疑人X的献身,花冈美里,人民大舞台
2024-05-17 19:30,合肥,人间失格,祝子,合肥大剧院歌剧厅
2024-05-18 14:30,合肥,人间失格,祝子,合肥大剧院歌剧厅
2024-05-23 19:30,北京,人间失格,祝子,天桥艺术中心大剧场
2024-05-24 19:30,北京,人间失格,祝子,天桥艺术中心大剧场
2024-05-25 14:00,上海,基督山伯爵,瓦伦缇娜,上海文化广场主剧场
2024-05-25 19:30,上海,基督山伯爵,瓦伦缇娜,上海文化广场主剧场
2024-05-27 19:30,上海,基督山伯爵,瓦伦缇娜,上海文化广场主剧场
2024-05-28 19:30,上海,基督山伯爵,瓦伦缇娜,上海文化广场主剧场
2024-06-02 14:00,上海,人间失格,祝子,上海大剧院大剧场
2024-06-06 19:30,上海,人间失格,祝子,上海大剧院大剧场
2024-06-07 19:30,上海,人间失格,祝子,上海大剧院大剧场
2024-07-12 19:30,北京,基督山伯爵,瓦伦缇娜,天桥艺术中心大剧场
2024-07-13 14:00,北京,基督山伯爵,瓦伦缇娜,天桥艺术中心大剧场
2024-07-19 19:30,淄博,人间失格,祝子,淄博大剧院歌剧厅
2024-07-20 19:30,淄博,人间失格,祝子,淄博大剧院歌剧厅
2024-08-16 19:30,上海,嫌疑人X的献身,花冈美里,人民大舞台
2024-08-17 14:00,上海,嫌疑人X的献身,花冈美里,人民大舞台
2024-08-18 14:00,上海,嫌疑人X的献身,花冈美里,人民大舞台
2024-08-23 19:30,上海,末日迷途,贝拉,星空间8808号·涵金剧场
2024-08-25 14:30,上海,末日迷途,贝拉,星空间8808号·涵金剧场
2024-08-29 19:30,上海,嫌疑人X的献身,花冈美里,人民大舞台
2024-08-30 19:30,上海,末日迷途,贝拉,星空间8808号·涵金剧场
2024-08-31 19:30,上海,嫌疑人X的献身,花冈美里,人民大舞台
2024-09-01 14:30,上海,末日迷途,贝拉,星空间8808号·涵金剧场
2024-09-04 19:30,上海,末日迷途,贝拉,星空间8808号·涵金剧场
2024-09-08 19:30,上海,末日迷途,贝拉,星空间8808号·涵金剧场
2024-09-18 19:30,上海,末日迷途,贝拉,星空间8808号·涵金剧场
2024-09-20 19:30,上海,末日迷途,贝拉,星空间8808号·涵金剧场
2024-09-21 19:30,上海,末日迷途,贝拉,星空间8808号·涵金剧场
2024-09-26 19:30,重庆,基督山伯爵,瓦伦缇娜,重庆大剧院中剧场
2024-09-27 19:30,重庆,基督山伯爵,瓦伦缇娜,重庆大剧院中剧场
2024-10-01 19:30,长沙,基督山伯爵,瓦伦缇娜,梅溪湖国际文化艺术中心大剧院大剧场
2024-10-02 19:30,长沙,基督山伯爵,瓦伦缇娜,梅溪湖国际文化艺术中心大剧院大剧场
