时间,城市,音乐剧,角色,剧院
2024-12-20 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2024-12-22 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2024-12-27 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2024-12-31 22:00,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-01-18 14:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-01-19 14:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-03-08 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-03-09 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-04-12 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-04-13 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-05-02 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-05-03 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-05-16 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-05-18 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-06-01 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-06-02 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-06-21 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-06-22 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-07-25 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-07-26 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-08-09 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-08-10 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-09-20 19:30,北京,故乡，别来无恙,刘枫,天桥艺术中心中剧场
2025-09-21 19:30,北京,故乡，别来无恙,刘枫,天桥艺术中心中剧场
2025-09-27 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-10-17 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-10-18 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-11-21 19:30,北京,故乡，别来无恙,刘枫,顺义大剧院
2025-11-22 14:30,北京,故乡，别来无恙,刘枫,顺义大剧院
2025-11-22 19:30,北京,故乡，别来无恙,刘枫,顺义大剧院
2025-12-06 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-12-07 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-12-19 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2025-12-20 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2026-01-17 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2026-01-18 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2026-01-30 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2026-01-31 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2026-04-30 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2026-05-01 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2026-05-02 19:30,北京,时光花舍,穆阳,三里屯·爱乐汇艺术空间-时空剧场
2026-05-03 14:30,北京,时光花舍,穆阳,三里屯·爱乐汇艺术空间-时空剧场
2026-05-03 19:30,北京,时光花舍,穆阳,三里屯·爱乐汇艺术空间-时空剧场
2026-06-06 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
2026-06-07 19:30,上海,去你的夏天,游亦,星空间8号·一台好戏方寸剧场
