时间,城市,音乐剧,角色,剧院
2023-02-25 14:30,北京,摘星辰,云中君,北京保利剧院
2023-02-25 19:30,北京,摘星辰,明世隐,北京保利剧院
2023-02-26 19:30,北京,摘星辰,明世隐,北京保利剧院
2023-03-04 19:30,保定,摘星辰,明世隐,关汉卿大剧院
2023-03-05 19:30,保定,摘星辰,明世隐,关汉卿大剧院
2023-03-11 14:00,哈尔滨,摘星辰,明世隐,哈尔滨大剧院歌剧厅
2023-03-11 19:00,哈尔滨,摘星辰,明世隐,哈尔滨大剧院歌剧厅
2023-03-12 19:00,哈尔滨,摘星辰,明世隐,哈尔滨大剧院歌剧厅
2023-03-18 19:00,沈阳,摘星辰,明世隐,盛京大剧院歌剧厅
2023-03-19 19:00,沈阳,摘星辰,明世隐,盛京大剧院歌剧厅
2023-03-25 19:30,唐山,摘星辰,明世隐,唐山大剧院
2023-03-26 19:30,唐山,摘星辰,明世隐,唐山大剧院
2023-04-01 14:00,郑州,摘星辰,明世隐,河南艺术中心
2023-04-01 19:30,郑州,摘星辰,明世隐,河南艺术中心
2023-04-02 19:30,郑州,摘星辰,明世隐,河南艺术中心
2023-04-08 19:30,潍坊,摘星辰,明世隐,潍坊大剧院
2023-04-09 19:30,潍坊,摘星辰,明世隐,潍坊大剧院
2023-04-15 19:30,烟台,摘星辰,明世隐,烟台大剧院
2023-04-16 19:30,烟台,摘星辰,明世隐,烟台大剧院
2023-04-22 14:00,连云港,摘星辰,明世隐,连云港大剧院
2023-04-22 19:30,连云港,摘星辰,明世隐,连云港大剧院
2023-04-23 19:30,连云港,摘星辰,明世隐,连云港大剧院
2023-04-29 14:30,淮安,摘星辰,明世隐,淮安大剧院
2023-04-29 19:30,淮安,摘星辰,明世隐,淮安大剧院
2023-04-30 19:30,淮安,摘星辰,明世隐,淮安大剧院
2023-05-06 19:30,武汉,摘星辰,云中君,琴台大剧院
2023-05-07 14:00,武汉,摘星辰,云中君,琴台大剧院
2023-05-07 19:30,武汉,摘星辰,云中君,琴台大剧院
2023-05-13 19:30,太原,摘星辰,云中君,山西大剧院大剧场
2023-05-14 14:00,太原,摘星辰,云中君,山西大剧院大剧场
2023-05-14 19:30,太原,摘星辰,云中君,山西大剧院大剧场
2023-05-20 14:30,西安,摘星辰,明世隐,西安浐灞保利大剧院
2023-05-20 19:30,西安,摘星辰,明世隐,西安浐灞保利大剧院
2023-05-21 19:30,西安,摘星辰,明世隐,西安浐灞保利大剧院
2023-05-27 19:30,呼和浩特,摘星辰,明世隐,内蒙古乌兰恰特
2023-05-28 19:30,呼和浩特,摘星辰,明世隐,内蒙古乌兰恰特
2023-07-08 19:30,南通,摘星辰,云中君,海门大剧院
2023-07-09 19:30,南通,摘星辰,云中君,海门大剧院
2023-07-29 14:00,常州,摘星辰,云中君,常州大剧院
