时间,城市,音乐剧,角色,剧院
2023-02-14 19:30,太原,生死签,茜茜,山西大剧院大剧场
2023-02-18 19:30,保定,生死签,茜茜,关汉卿大剧院
2023-02-21 19:30,滨州,生死签,茜茜,滨州大剧院
2023-02-24 19:30,济宁,生死签,茜茜,济宁大剧院
2023-02-27 19:30,常州,生死签,茜茜,常州大剧院
2024-12-07 19:30,武汉,FLAMES火焰,梅瑞狄斯,武汉剧院武演新空间
2024-12-08 15:00,武汉,FLAMES火焰,梅瑞狄斯,武汉剧院武演新空间
2024-12-14 19:30,武汉,FLAMES火焰,梅瑞狄斯,武汉剧院武演新空间
2024-12-15 15:00,武汉,FLAMES火焰,梅瑞狄斯,武汉剧院武演新空间
2025-01-04 19:30,武汉,FLAMES火焰,梅瑞狄斯,武汉剧院武演新空间
2025-01-05 15:00,武汉,FLAMES火焰,梅瑞狄斯,武汉剧院武演新空间
2025-04-19 19:30,上海,她对此感到厌烦,多琳,黄浦剧场小剧场
2025-04-26 14:30,上海,她对此感到厌烦,多琳,黄浦剧场小剧场
2025-05-02 14:30,上海,她对此感到厌烦,多琳,黄浦剧场小剧场
2025-05-04 14:30,上海,她对此感到厌烦,多琳,黄浦剧场小剧场
2025-05-10 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2025-05-24 14:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2025-05-25 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2025-06-11 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2025-06-13 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2025-06-14 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2025-06-22 14:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2025-06-25 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2025-06-28 19:30,武汉,FLAMES火焰,梅瑞狄斯,武汉剧院武演新空间
2025-07-05 14:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2025-07-08 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2025-07-11 19:30,上海,她对此感到厌烦,多琳,黄浦剧场小剧场
2025-07-12 14:30,上海,她对此感到厌烦,多琳,黄浦剧场小剧场
2025-07-18 19:30,上海,她对此感到厌烦,多琳,黄浦剧场小剧场
2025-07-25 19:30,上海,她对此感到厌烦,多琳,黄浦剧场小剧场
2025-07-26 14:30,上海,她对此感到厌烦,多琳,黄浦剧场小剧场
2025-08-13 19:30,上海,她对此感到厌烦,多琳,黄浦剧场小剧场
2025-08-16 14:30,上海,她对此感到厌烦,多琳,黄浦剧场小剧场
2025-08-17 14:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2025-08-23 20:00,上海,LIZZIE丽兹,LIZZIE,星空间11号·MOriginal Box
2025-08-26 20:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2025-08-29 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2025-08-30 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2025-09-20 20:00,上海,LIZZIE丽兹,LIZZIE,星空间11号·MOriginal Box
2025-09-24 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2025-09-30 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2025-10-02 14:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2025-10-03 20:00,上海,LIZZIE丽兹,LIZZIE,星空间11号·MOriginal Box
2025-10-06 20:00,上海,LIZZIE丽兹,LIZZIE,星空间11号·MOriginal Box
2025-10-07 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2025-10-11 19:30,苏州,她对此感到厌烦,多琳,苏州保利大剧院大剧场
2025-10-12 19:30,苏州,她对此感到厌烦,多琳,苏州保利大剧院大剧场
2025-10-21 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2025-10-22 20:00,上海,LIZZIE丽兹,LIZZIE,星空间11号·MOriginal Box
2025-11-01 19:30,无锡,她对此感到厌烦,多琳,无锡大剧院歌剧厅
2025-11-02 14:30,无锡,她对此感到厌烦,多琳,无锡大剧院歌剧厅
2025-11-05 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2025-11-08 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2025-12-12 20:00,上海,LIZZIE丽兹,LIZZIE,星空间11号·MOriginal Box
2025-12-17 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2025-12-21 14:30,上海,末日迷途,贝拉,星空间8808号·涵金剧场
2025-12-31 20:00,上海,LIZZIE丽兹,LIZZIE,星空间11号·MOriginal Box
2026-01-02 20:00,上海,LIZZIE丽兹,LIZZIE,星空间11号·MOriginal Box
2026-01-03 14:30,上海,末日迷途,贝拉,星空间8808号·涵金剧场
2026-01-10 17:00,上海,LIZZIE丽兹,LIZZIE,星空间11号·MOriginal Box
2026-01-11 19:30,上海,末日迷途,贝拉,星空间8808号·涵金剧场
2026-01-14 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2026-01-18 17:00,上海,LIZZIE丽兹,LIZZIE,星空间11号·MOriginal Box
2026-01-23 20:00,上海,LIZZIE丽兹,LIZZIE,星空间11号·MOriginal Box
2026-01-29 19:30,上海,末日迷途,贝拉,星空间8808号·涵金剧场
2026-01-30 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2026-01-31 20:00,上海,LIZZIE丽兹,LIZZIE,星空间11号·MOriginal Box
2026-02-04 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2026-02-05 19:30,上海,她对此感到厌烦,多琳,黄浦剧场小剧场
2026-02-07 19:30,上海,她对此感到厌烦,多琳,黄浦剧场小剧场
2026-02-23 14:30,上海,她对此感到厌烦,多琳,黄浦剧场小剧场
2026-02-27 19:30,上海,她对此感到厌烦,多琳,黄浦剧场小剧场
2026-03-06 19:30,上海,她对此感到厌烦,多琳,黄浦剧场小剧场
2026-03-08 17:00,上海,LIZZIE丽兹,LIZZIE,星空间11号·MOriginal Box
2026-03-12 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2026-03-13 20:00,上海,LIZZIE丽兹,LIZZIE,星空间11号·MOriginal Box
2026-03-14 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2026-03-21 14:30,上海,末日迷途,贝拉,星空间8808号·涵金剧场
2026-03-26 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2026-03-28 19:30,上海,末日迷途,贝拉,星空间8808号·涵金剧场
2026-03-29 17:00,上海,LIZZIE丽兹,LIZZIE,星空间11号·MOriginal Box
2026-04-03 20:00,东莞,她对此感到厌烦,多琳,东莞玉兰大剧院
2026-04-05 20:00,上海,LIZZIE丽兹,LIZZIE,星空间11号·MOriginal Box
2026-04-12 15:00,南宁,她对此感到厌烦,多琳,南宁剧场
2026-04-18 14:30,上海,末日迷途,贝拉,星空间8808号·涵金剧场
2026-04-18 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2026-04-19 17:00,上海,LIZZIE丽兹,LIZZIE,星空间11号·MOriginal Box
2026-04-25 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2026-04-30 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2026-05-02 19:30,上海,新贵,阿旭,星空间2047号·新贵剧场
2026-05-04 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2026-05-15 19:30,上海,新贵,阿旭,星空间2047号·新贵剧场
2026-05-24 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2026-05-30 14:30,上海,新贵,阿旭,星空间2047号·新贵剧场
2026-06-06 17:00,上海,LIZZIE丽兹,LIZZIE,星空间11号·MOriginal Box
2026-06-07 19:30,上海,新贵,阿旭,星空间2047号·新贵剧场
2026-06-21 17:00,上海,LIZZIE丽兹,LIZZIE,星空间11号·MOriginal Box
2026-06-27 14:30,上海,新贵,阿旭,星空间2047号·新贵剧场
2026-06-28 17:00,上海,LIZZIE丽兹,LIZZIE,星空间11号·MOriginal Box
2026-07-24 19:30,上海,新贵,阿旭,星空间2047号·新贵剧场
2026-07-26 14:30,上海,新贵,阿旭,星空间2047号·新贵剧场
2026-07-26 20:00,上海,LIZZIE丽兹,BRIDGET,星空间11号·MOriginal Box
2026-08-01 19:30,上海,流星之绊,小静,星空间10号·MOriginal Box
2026-08-13 19:30,上海,她对此感到厌烦,多琳,黄浦剧场小剧场
2026-08-14 19:30,上海,新贵,阿旭,星空间2047号·新贵剧场
2026-08-16 14:30,上海,她对此感到厌烦,多琳,黄浦剧场小剧场
2026-08-19 19:30,上海,她对此感到厌烦,多琳,黄浦剧场小剧场
2026-08-22 14:30,上海,她对此感到厌烦,多琳,黄浦剧场小剧场
2026-09-04 19:30,青岛,她对此感到厌烦,多琳,青岛大剧院歌剧厅
2026-09-19 14:00,哈尔滨,她对此感到厌烦,多琳,哈尔滨大剧院歌剧厅
2026-09-26 14:00,沈阳,她对此感到厌烦,多琳,盛京大剧院歌剧厅
2026-10-31 19:30,台州,她对此感到厌烦,多琳,温岭大剧院
2026-11-01 14:30,台州,她对此感到厌烦,多琳,温岭大剧院
