时间,城市,音乐剧,角色,剧院
2023-06-09 19:30,北京,恋曲,廖师长,天桥艺术中心中剧场
2023-06-10 14:30,北京,恋曲,廖师长,天桥艺术中心中剧场
2023-06-10 19:30,北京,恋曲,廖师长,天桥艺术中心中剧场
2023-06-11 14:30,北京,恋曲,廖师长,天桥艺术中心中剧场
2023-06-11 19:30,北京,恋曲,廖师长,天桥艺术中心中剧场
2023-09-02 19:30,北京,我的魔法药水,孙海峰,时间剧场TIME THEATRE
2023-09-03 14:30,北京,我的魔法药水,孙海峰,时间剧场TIME THEATRE
2023-10-01 19:30,北京,我的魔法药水,孙海峰,时间剧场TIME THEATRE
2023-10-02 19:30,北京,我的魔法药水,孙海峰,时间剧场TIME THEATRE
2023-10-03 19:30,北京,我的魔法药水,孙海峰,时间剧场TIME THEATRE
2023-10-13 20:00,北京,我的魔法药水,孙海峰,时间剧场TIME THEATRE
2023-10-14 14:30,北京,我的魔法药水,孙海峰,时间剧场TIME THEATRE
2023-10-20 20:00,北京,我的魔法药水,孙海峰,时间剧场TIME THEATRE
2023-11-03 20:00,北京,我的魔法药水,孙海峰,时间剧场TIME THEATRE
2023-11-04 14:30,北京,我的魔法药水,孙海峰,时间剧场TIME THEATRE
2023-11-12 14:30,北京,我的魔法药水,孙海峰,时间剧场TIME THEATRE
2023-12-22 20:00,北京,我的魔法药水,孙海峰,时间剧场TIME THEATRE
2024-01-19 19:30,北京,百年青春,活字张,天桥艺术中心中剧场
2024-01-20 19:30,北京,百年青春,活字张,天桥艺术中心中剧场
2024-01-21 19:30,北京,百年青春,活字张,天桥艺术中心中剧场
2024-01-26 20:00,北京,我的魔法药水,孙海峰,时间剧场TIME THEATRE
2024-04-13 19:30,北京,我的魔法药水,孙海峰,时间剧场TIME THEATRE
2025-05-03 19:30,北京,孤独城堡,世美,三里屯·爱乐汇艺术空间-时空剧场
2025-05-04 19:30,北京,孤独城堡,世美,三里屯·爱乐汇艺术空间-时空剧场
2025-05-05 15:30,北京,孤独城堡,世美,三里屯·爱乐汇艺术空间-时空剧场
2026-01-23 19:30,北京,仙症,Ensemble,天桥艺术中心大剧场
2026-01-24 13:30,北京,仙症,Ensemble,天桥艺术中心大剧场
2026-01-24 19:30,北京,仙症,Ensemble,天桥艺术中心大剧场
2026-01-25 13:30,北京,仙症,Ensemble,天桥艺术中心大剧场
2026-01-25 19:30,北京,仙症,Ensemble,天桥艺术中心大剧场
2026-06-26 19:30,北京,长安大国医,玉衡子/帅茶商,北京保利剧院
2026-06-27 14:00,北京,长安大国医,玉衡子/帅茶商,北京保利剧院
2026-06-28 19:30,北京,长安大国医,玉衡子/帅茶商,北京保利剧院
2026-07-03 19:30,北京,破墙,薛临,鼓楼西剧场
2026-07-11 19:30,北京,破墙,薛临,鼓楼西剧场
2026-07-17 19:30,上海,长安大国医,玉衡子/帅茶商,北外滩友邦大剧院
2026-07-18 14:00,上海,长安大国医,玉衡子/帅茶商,北外滩友邦大剧院
2026-07-25 19:30,上海,长安大国医,玉衡子/帅茶商,北外滩友邦大剧院
2026-07-26 14:00,上海,长安大国医,玉衡子/帅茶商,北外滩友邦大剧院
