时间,城市,音乐剧,角色,剧院
2025-10-02 19:30,上海,死神疗愈馆,周行,星空间0507号·心灵剧场
2025-10-03 19:30,上海,死神疗愈馆,周行,星空间0507号·心灵剧场
2025-10-05 19:30,上海,死神疗愈馆,周行,星空间0507号·心灵剧场
2025-10-12 19:30,上海,死神疗愈馆,周行,星空间0507号·心灵剧场
2025-10-18 19:30,上海,死神疗愈馆,周行,星空间0507号·心灵剧场
2025-11-23 14:30,上海,死神疗愈馆,周行,星空间0507号·心灵剧场
2026-01-18 14:30,武汉,嗜血博士,爱德华,联创艺空间1号·心境剧场
2026-01-23 19:30,武汉,嗜血博士,爱德华,联创艺空间1号·心境剧场
2026-03-14 14:30,武汉,嗜血博士,爱德华,联创艺空间1号·心境剧场
2026-03-28 19:30,武汉,嗜血博士,爱德华,联创艺空间1号·心境剧场
2026-04-04 19:30,武汉,嗜血博士,爱德华,联创艺空间1号·心境剧场
2026-04-18 19:30,武汉,嗜血博士,爱德华,联创艺空间1号·心境剧场
2026-04-30 19:30,武汉,嗜血博士,爱德华,联创艺空间1号·心境剧场
2026-05-01 19:30,武汉,嗜血博士,爱德华,联创艺空间1号·心境剧场
2026-05-23 14:30,广州,阳光之下,Klabb,正佳大剧院
2026-05-23 19:30,广州,阳光之下,Klabb,正佳大剧院
2026-05-30 14:30,广州,阳光之下,Klabb,正佳大剧院
2026-05-31 19:30,广州,阳光之下,Klabb,正佳大剧院
2026-06-26 19:30,武汉,画中人,靖元,联创艺空间4号·梦境剧场
2026-06-28 14:30,武汉,画中人,靖元,联创艺空间4号·梦境剧场
2026-08-01 19:30,武汉,画中人,靖元,联创艺空间4号·梦境剧场
2026-08-02 14:30,武汉,嗜血博士,爱德华,联创艺空间1号·心境剧场
2026-08-08 14:30,武汉,画中人,靖元,联创艺空间4号·梦境剧场
2026-08-23 14:30,武汉,嗜血博士,爱德华,联创艺空间1号·心境剧场
