时间,城市,音乐剧,角色,剧院
2023-04-07 14:00,北京,丝路之声,二娘,中央歌剧院剧场
2023-04-07 19:30,北京,丝路之声,二娘,中央歌剧院剧场
2023-04-08 14:00,北京,丝路之声,二娘,中央歌剧院剧场
2023-04-08 19:30,北京,丝路之声,二娘,中央歌剧院剧场
2023-04-26 15:30,西安,丝路之声,二娘,丝路欢乐世界·琴音剧场
2023-04-27 15:30,西安,丝路之声,二娘,丝路欢乐世界·琴音剧场
2023-04-28 15:30,西安,丝路之声,二娘,丝路欢乐世界·琴音剧场
2023-04-29 15:30,西安,丝路之声,二娘,丝路欢乐世界·琴音剧场
2023-04-30 15:30,西安,丝路之声,二娘,丝路欢乐世界·琴音剧场
2023-05-01 15:30,西安,丝路之声,二娘,丝路欢乐世界·琴音剧场
2023-05-02 15:30,西安,丝路之声,二娘,丝路欢乐世界·琴音剧场
2023-05-03 15:30,西安,丝路之声,二娘,丝路欢乐世界·琴音剧场
2023-05-09 15:30,西安,丝路之声,二娘,丝路欢乐世界·琴音剧场
2023-05-10 15:30,西安,丝路之声,二娘,丝路欢乐世界·琴音剧场
2023-05-31 15:30,西安,丝路之声,二娘,丝路欢乐世界·琴音剧场
