时间,城市,音乐剧,角色,剧院
2023-01-01 16:00,南京,香水之谜,亨利二世/安东尼,香水之谜剧场
2023-01-14 16:00,南京,香水之谜,亨利二世/安东尼,香水之谜剧场
2023-02-11 16:00,南京,香水之谜,多梅尼克/保罗,香水之谜剧场
2023-02-18 16:00,南京,香水之谜,多梅尼克/保罗,香水之谜剧场
2023-02-25 16:00,南京,香水之谜,亨利二世/安东尼,香水之谜剧场
2023-02-26 16:00,南京,香水之谜,亨利二世/安东尼,香水之谜剧场
2023-03-04 16:00,南京,香水之谜,多梅尼克/保罗,香水之谜剧场
2023-03-05 16:00,南京,香水之谜,亨利二世/安东尼,香水之谜剧场
2023-03-18 16:00,南京,香水之谜,亨利二世/安东尼,香水之谜剧场
2023-03-19 16:00,南京,香水之谜,亨利二世/安东尼,香水之谜剧场
2023-03-31 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-04-02 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-04-05 16:00,南京,香水之谜,多梅尼克/保罗,香水之谜剧场
2023-04-08 16:00,南京,香水之谜,亨利二世/安东尼,香水之谜剧场
2023-04-09 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-04-15 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-04-16 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-05-01 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-05-01 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-05-03 19:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-05-14 16:00,南京,香水之谜,亨利二世/安东尼,香水之谜剧场
2023-05-20 16:00,南京,香水之谜,多梅尼克/保罗,香水之谜剧场
2023-05-27 14:30,上海,致命旋律,杰弗瑞,长江剧场黑匣子
2023-05-28 16:00,南京,香水之谜,亨利二世/安东尼,香水之谜剧场
