时间,城市,音乐剧,角色,剧院
2023-05-05 20:00,深圳,一出好戏,小王,深圳保利剧院
2023-05-06 20:00,深圳,一出好戏,小王,深圳保利剧院
2023-05-07 20:00,深圳,一出好戏,小王,深圳保利剧院
2023-05-13 20:00,深圳,一出好戏,小王,深圳保利剧院
2023-05-18 20:00,海口,一出好戏,小王,海口湾演艺中心
2023-05-19 20:00,海口,一出好戏,小王,海口湾演艺中心
2023-05-23 20:00,珠海,一出好戏,小王,珠海大剧院歌剧厅
2023-05-24 20:00,珠海,一出好戏,小王,珠海大剧院歌剧厅
2023-05-29 20:00,南宁,一出好戏,小王,广西文化艺术中心大剧院
2023-05-30 20:00,南宁,一出好戏,小王,广西文化艺术中心大剧院
2023-06-03 20:00,昆明,一出好戏,小王,云南省大剧院大剧场
2023-06-04 20:00,昆明,一出好戏,小王,云南省大剧院大剧场
2023-06-09 19:30,重庆,一出好戏,小王,重庆大剧院大剧场
2023-06-10 19:30,重庆,一出好戏,小王,重庆大剧院大剧场
2023-06-14 19:30,长沙,一出好戏,小王,梅溪湖国际文化艺术中心大剧院大剧场
2023-06-15 19:30,长沙,一出好戏,小王,梅溪湖国际文化艺术中心大剧院大剧场
2023-07-14 19:30,武汉,一出好戏,小王,琴台大剧院
2023-07-23 19:30,北京,一出好戏,小王,北京保利剧院
2023-07-26 19:30,北京,一出好戏,小王,北京保利剧院
2023-07-28 19:30,北京,一出好戏,小王,北京保利剧院
2023-07-29 19:30,北京,一出好戏,小王,北京保利剧院
2023-09-26 20:00,深圳,闪闪的红星,米店沈老板,南山文体中心剧院大剧院
2023-09-27 20:00,深圳,闪闪的红星,米店沈老板,南山文体中心剧院大剧院
2024-01-19 19:30,北京,百年青春,小烟囱,天桥艺术中心中剧场
2024-01-20 19:30,北京,百年青春,小烟囱,天桥艺术中心中剧场
2024-01-21 19:30,北京,百年青春,小烟囱,天桥艺术中心中剧场
2024-08-17 15:00,深圳,女侠请留步,王爷,龙岗文化中心大剧院
2024-08-17 20:00,深圳,女侠请留步,王爷,龙岗文化中心大剧院
2024-08-18 15:00,深圳,女侠请留步,王爷,龙岗文化中心大剧院
2024-08-23 20:00,深圳,女侠请留步,王爷,深圳开心麻花红山剧场大剧场
2024-08-24 15:00,深圳,女侠请留步,王爷,深圳开心麻花红山剧场大剧场
2024-08-24 20:00,深圳,女侠请留步,王爷,深圳开心麻花红山剧场大剧场
2024-08-25 15:00,深圳,女侠请留步,王爷,深圳开心麻花红山剧场大剧场
2024-08-28 20:00,深圳,女侠请留步,王爷,深圳开心麻花红山剧场大剧场
2024-08-30 20:00,深圳,女侠请留步,王爷,深圳开心麻花红山剧场大剧场
2024-08-31 15:00,深圳,女侠请留步,王爷,深圳开心麻花红山剧场大剧场
2024-08-31 20:00,深圳,女侠请留步,王爷,深圳开心麻花红山剧场大剧场
2024-09-01 15:00,深圳,女侠请留步,王爷,深圳开心麻花红山剧场大剧场
2024-10-16 19:30,北京,女侠请留步,王爷,海淀剧院
2024-10-17 19:30,北京,女侠请留步,王爷,海淀剧院
2024-10-18 19:30,北京,女侠请留步,王爷,海淀剧院
2024-10-19 14:30,北京,女侠请留步,王爷,海淀剧院
2024-10-19 19:30,北京,女侠请留步,王爷,海淀剧院
2024-10-20 14:30,北京,女侠请留步,王爷,海淀剧院
2024-10-20 19:30,北京,女侠请留步,王爷,海淀剧院
2024-10-22 19:30,北京,女侠请留步,王爷,海淀剧院
2024-10-23 19:30,北京,女侠请留步,王爷,海淀剧院
2024-10-24 19:30,北京,女侠请留步,王爷,海淀剧院
2024-10-25 19:30,北京,女侠请留步,王爷,海淀剧院
2024-10-26 14:30,北京,女侠请留步,王爷,海淀剧院
2024-10-26 19:30,北京,女侠请留步,王爷,海淀剧院
2024-10-27 14:30,北京,女侠请留步,王爷,海淀剧院
2024-10-27 19:30,北京,女侠请留步,王爷,海淀剧院
2024-11-15 19:30,台州,画皮,丧坤,仙居永安剧院
2024-11-16 19:30,台州,画皮,丧坤,仙居永安剧院
2024-11-20 19:30,宁德,画皮,丧坤,福安大剧院
2024-11-23 19:30,宁德,画皮,丧坤,福鼎大剧院
2024-11-29 19:30,合肥,画皮,丧坤,安徽大剧院
2025-01-02 19:30,北京,东门！东门,多功能,国话先锋智慧剧场
2025-01-03 19:30,北京,东门！东门,多功能,国话先锋智慧剧场
2026-06-26 19:30,北京,长安大国医,陆成音,北京保利剧院
2026-06-27 19:30,北京,长安大国医,陆成音,北京保利剧院
2026-06-28 19:30,北京,长安大国医,陆成音,北京保利剧院
2026-07-17 19:30,上海,长安大国医,陆成音,北外滩友邦大剧院
2026-07-19 19:30,上海,长安大国医,陆成音,北外滩友邦大剧院
2026-07-25 19:30,上海,长安大国医,陆成音,北外滩友邦大剧院
2026-07-26 14:00,上海,长安大国医,陆成音,北外滩友邦大剧院
