时间,城市,音乐剧,角色,剧院
2023-04-29 14:30,北京,觉醒年代,蔡元培,世纪剧院
2023-04-30 19:30,北京,觉醒年代,蔡元培,世纪剧院
2023-05-02 14:30,北京,觉醒年代,蔡元培,世纪剧院
2023-05-02 19:30,北京,觉醒年代,蔡元培,世纪剧院
2023-05-03 19:30,北京,觉醒年代,蔡元培,世纪剧院
2023-05-04 19:30,北京,觉醒年代,蔡元培,世纪剧院
2023-05-06 19:30,北京,觉醒年代,蔡元培,世纪剧院
2023-05-07 14:30,北京,觉醒年代,蔡元培,世纪剧院
2023-06-22 19:30,北京,觉醒年代,蔡元培,世纪剧院
2023-06-23 19:30,北京,觉醒年代,蔡元培,世纪剧院
2023-06-28 19:30,北京,觉醒年代,蔡元培,世纪剧院
2023-06-29 19:30,北京,觉醒年代,蔡元培,世纪剧院
2023-06-30 19:30,北京,觉醒年代,蔡元培,世纪剧院
2023-07-01 14:30,北京,觉醒年代,蔡元培,世纪剧院
2023-07-01 19:30,北京,觉醒年代,蔡元培,世纪剧院
2023-07-02 14:30,北京,觉醒年代,蔡元培,世纪剧院
2023-09-28 19:30,北京,觉醒年代,蔡元培,世纪剧院
2023-09-29 19:30,北京,觉醒年代,蔡元培,世纪剧院
2023-09-30 19:30,北京,觉醒年代,蔡元培,世纪剧院
2023-10-01 14:30,北京,觉醒年代,蔡元培,世纪剧院
2023-10-01 19:30,北京,觉醒年代,蔡元培,世纪剧院
2023-10-02 14:30,北京,觉醒年代,蔡元培,世纪剧院
2023-10-02 19:30,北京,觉醒年代,蔡元培,世纪剧院
2023-10-03 14:30,北京,觉醒年代,蔡元培,世纪剧院
2023-10-03 19:30,北京,觉醒年代,蔡元培,世纪剧院
2023-10-04 19:30,北京,觉醒年代,蔡元培,世纪剧院
2023-10-05 14:30,北京,觉醒年代,蔡元培,世纪剧院
2024-04-26 19:30,北京,觉醒年代,蔡元培,世纪剧院
2024-04-28 19:30,北京,觉醒年代,蔡元培,世纪剧院
2024-04-29 19:30,北京,觉醒年代,蔡元培,世纪剧院
2024-05-01 14:30,北京,觉醒年代,蔡元培,世纪剧院
2024-05-02 19:30,北京,觉醒年代,蔡元培,世纪剧院
2024-05-03 19:30,北京,觉醒年代,蔡元培,世纪剧院
2024-05-04 19:30,北京,觉醒年代,蔡元培,世纪剧院
2024-05-31 20:00,深圳,觉醒年代,蔡元培,深圳保利剧院
2024-06-01 14:30,深圳,觉醒年代,蔡元培,深圳保利剧院
2024-06-01 20:00,深圳,觉醒年代,蔡元培,深圳保利剧院
2024-06-07 19:30,广州,觉醒年代,蔡元培,广东省友谊剧院
2024-06-08 14:30,广州,觉醒年代,蔡元培,广东省友谊剧院
2024-06-08 19:30,广州,觉醒年代,蔡元培,广东省友谊剧院
2024-06-29 19:30,北京,觉醒年代,蔡元培,世纪剧院
2024-06-30 14:30,北京,觉醒年代,蔡元培,世纪剧院
2024-07-01 19:30,北京,觉醒年代,蔡元培,世纪剧院
2024-07-04 19:30,北京,觉醒年代,蔡元培,世纪剧院
2024-07-05 19:30,北京,觉醒年代,蔡元培,世纪剧院
2024-07-06 19:30,北京,觉醒年代,蔡元培,世纪剧院
2024-07-07 14:30,北京,觉醒年代,蔡元培,世纪剧院
2024-08-01 19:30,北京,觉醒年代,蔡元培,世纪剧院
2024-08-02 19:30,北京,觉醒年代,蔡元培,世纪剧院
2024-08-03 14:30,北京,觉醒年代,蔡元培,世纪剧院
2024-08-03 19:30,北京,觉醒年代,蔡元培,世纪剧院
2024-08-04 14:30,北京,觉醒年代,蔡元培,世纪剧院
2024-09-16 19:30,青岛,觉醒年代,蔡元培,青岛大剧院歌剧厅
2024-09-17 14:30,青岛,觉醒年代,蔡元培,青岛大剧院歌剧厅
2025-04-30 19:30,北京,觉醒年代,蔡元培,世纪剧院
2025-05-02 14:30,北京,觉醒年代,蔡元培,世纪剧院
2025-05-04 19:30,北京,觉醒年代,蔡元培,世纪剧院
2025-05-05 19:30,北京,觉醒年代,蔡元培,世纪剧院
2025-06-26 19:30,北京,觉醒年代,蔡元培,世纪剧院
2025-06-27 19:30,北京,觉醒年代,蔡元培,世纪剧院
2025-06-28 14:30,北京,觉醒年代,蔡元培,世纪剧院
2025-06-28 19:30,北京,觉醒年代,蔡元培,世纪剧院
2025-06-29 14:30,北京,觉醒年代,蔡元培,世纪剧院
2025-07-01 19:30,北京,觉醒年代,蔡元培,世纪剧院
2025-10-12 19:30,成都,觉醒年代,蔡元培,成都高新中演大剧院大剧场
2026-04-30 19:30,北京,觉醒年代,蔡元培,世纪剧院
2026-05-01 14:30,北京,觉醒年代,蔡元培,世纪剧院
2026-05-01 19:30,北京,觉醒年代,蔡元培,世纪剧院
2026-05-02 14:30,北京,觉醒年代,蔡元培,世纪剧院
2026-05-02 19:30,北京,觉醒年代,蔡元培,世纪剧院
2026-05-03 14:30,北京,觉醒年代,蔡元培,世纪剧院
2026-05-03 19:30,北京,觉醒年代,蔡元培,世纪剧院
2026-05-04 14:30,北京,觉醒年代,蔡元培,世纪剧院
2026-05-04 19:30,北京,觉醒年代,蔡元培,世纪剧院
2026-05-05 14:30,北京,觉醒年代,蔡元培,世纪剧院
2026-06-25 19:30,北京,觉醒年代,蔡元培,世纪剧院
2026-06-26 19:30,北京,觉醒年代,蔡元培,世纪剧院
2026-06-27 14:30,北京,觉醒年代,蔡元培,世纪剧院
2026-06-27 19:30,北京,觉醒年代,蔡元培,世纪剧院
2026-06-28 14:30,北京,觉醒年代,蔡元培,世纪剧院
2026-06-28 19:30,北京,觉醒年代,蔡元培,世纪剧院
2026-07-01 19:30,北京,觉醒年代,蔡元培,世纪剧院
2026-09-11 19:30,上海,觉醒年代,蔡元培,北外滩友邦大剧院
2026-09-12 19:30,上海,觉醒年代,蔡元培,北外滩友邦大剧院
