时间,城市,音乐剧,角色,剧院
2026-04-11 19:30,绍兴,六个说谎的大学生,波多野芳惠,金柯桥大剧院
2026-04-12 14:30,绍兴,六个说谎的大学生,波多野芳惠,金柯桥大剧院
2026-04-25 19:30,马鞍山,六个说谎的大学生,波多野芳惠,马鞍山大剧院
2026-04-26 19:30,马鞍山,六个说谎的大学生,波多野芳惠,马鞍山大剧院
2026-04-30 19:30,合肥,六个说谎的大学生,波多野芳惠,合肥大剧院歌剧厅
2026-05-01 19:30,合肥,六个说谎的大学生,波多野芳惠,合肥大剧院歌剧厅
2026-05-04 19:30,武汉,六个说谎的大学生,波多野芳惠,琴台大剧院
2026-05-05 19:30,武汉,六个说谎的大学生,波多野芳惠,琴台大剧院
2026-05-23 19:30,广州,六个说谎的大学生,波多野芳惠,广东省友谊剧院
2026-05-24 14:30,广州,六个说谎的大学生,波多野芳惠,广东省友谊剧院
2026-05-30 14:30,东莞,六个说谎的大学生,波多野芳惠,松山湖展演中心
2026-05-31 14:30,东莞,六个说谎的大学生,波多野芳惠,松山湖展演中心
2026-06-13 19:30,西安,六个说谎的大学生,波多野芳惠,陕西大剧院歌剧厅
2026-06-14 19:30,西安,六个说谎的大学生,波多野芳惠,陕西大剧院歌剧厅
2026-07-24 19:30,潍坊,六个说谎的大学生,波多野芳惠,潍坊大剧院
2026-07-25 19:30,潍坊,六个说谎的大学生,波多野芳惠,潍坊大剧院
2026-09-19 19:30,海口,六个说谎的大学生,波多野芳惠,海口湾演艺中心
2026-09-20 19:30,海口,六个说谎的大学生,波多野芳惠,海口湾演艺中心
