时间,城市,音乐剧,角色,剧院
2024-07-27 14:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-08-21 19:30,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-08-25 17:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-08-27 19:30,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-09-17 14:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-09-22 14:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-10-05 14:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-10-19 17:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-10-26 17:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-11-10 17:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2024-12-28 17:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2025-03-16 17:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2025-03-22 20:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2025-04-04 17:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2025-04-20 17:00,上海,LIZZIE丽兹,ALICE,星空间11号·MOriginal Box
2025-04-25 19:30,南京,宝玉,有缘人/袭人,南京保利大剧院大剧场
2025-05-17 14:00,上海,宝玉,有缘人/袭人,上海文化广场主剧场
2025-05-17 19:30,上海,宝玉,有缘人/袭人,上海文化广场主剧场
2025-06-21 19:30,武汉,宝玉,有缘人/袭人,琴台大剧院
2025-06-22 15:00,武汉,宝玉,有缘人/袭人,琴台大剧院
2025-06-28 19:30,北京,宝玉,有缘人/袭人,北京保利剧院
2025-06-29 19:30,北京,宝玉,有缘人/袭人,北京保利剧院
2025-08-02 19:30,深圳,宝玉,有缘人/袭人,光明文化艺术中心 演艺中心大剧场
2025-08-03 14:30,深圳,宝玉,有缘人/袭人,光明文化艺术中心 演艺中心大剧场
2025-08-22 19:30,重庆,宝玉,有缘人/袭人,重庆大剧院大剧场
2025-08-23 19:30,重庆,宝玉,有缘人/袭人,重庆大剧院大剧场
2025-09-26 19:30,天津,宝玉,有缘人/袭人,天津大剧院歌剧厅
2025-09-27 14:30,天津,宝玉,有缘人/袭人,天津大剧院歌剧厅
2025-10-11 19:30,长沙,宝玉,有缘人/袭人,梅溪湖国际文化艺术中心大剧院大剧场
2025-10-12 14:30,长沙,宝玉,有缘人/袭人,梅溪湖国际文化艺术中心大剧院大剧场
2026-03-27 19:30,南京,宝玉,有缘人/袭人,南京保利大剧院大剧场
2026-03-28 14:00,南京,宝玉,有缘人/袭人,南京保利大剧院大剧场
2026-03-28 19:30,南京,宝玉,有缘人/袭人,南京保利大剧院大剧场
2026-04-18 19:30,苏州,宝玉,有缘人/袭人,苏州湾大剧院歌剧厅
2026-04-19 14:30,苏州,宝玉,有缘人/袭人,苏州湾大剧院歌剧厅
2026-04-24 19:30,厦门,宝玉,有缘人/袭人,闽南大戏院大剧场
2026-04-25 14:30,厦门,宝玉,有缘人/袭人,闽南大戏院大剧场
2026-05-22 19:30,广州,宝玉,有缘人/袭人,广东艺术剧院
2026-05-23 14:30,广州,宝玉,有缘人/袭人,广东艺术剧院
2026-09-30 19:30,上海,宝玉,有缘人/袭人,上海文化广场主剧场
2026-10-01 14:30,上海,宝玉,有缘人/袭人,上海文化广场主剧场
2026-10-01 19:30,上海,宝玉,有缘人/袭人,上海文化广场主剧场
2026-10-05 19:30,南京,宝玉,有缘人/袭人,南京保利大剧院大剧场
2026-10-06 19:30,南京,宝玉,有缘人/袭人,南京保利大剧院大剧场
