时间,城市,音乐剧,角色,剧院
2023-02-18 19:30,佛山,这里冬天不下雪,夏晓雪,樵山文化中心剧院
2023-02-23 20:00,深圳,这里冬天不下雪,夏晓雪,南山文体中心剧院大剧院
2023-02-24 20:00,深圳,这里冬天不下雪,夏晓雪,南山文体中心剧院大剧院
2023-03-03 20:00,深圳,这里冬天不下雪,夏晓雪,深圳市文化馆影剧场
2023-03-11 20:00,江门,这里冬天不下雪,夏晓雪,江门演艺中心·侨都大剧院
2023-04-09 19:30,南京,这里冬天不下雪,夏晓雪,南京市青少年宫 青春剧场
2023-04-12 19:30,上海,这里冬天不下雪,夏晓雪,云峰剧院
2023-04-13 19:30,上海,这里冬天不下雪,夏晓雪,云峰剧院
2023-05-23 19:30,东莞,这里冬天不下雪,夏晓雪,东莞市文化馆星剧场
2023-05-24 19:30,东莞,这里冬天不下雪,夏晓雪,东莞市文化馆星剧场
2023-11-15 14:30,广州,这里冬天不下雪,夏晓雪,广东省友谊剧院
2023-11-15 19:30,广州,这里冬天不下雪,夏晓雪,广东省友谊剧院
2024-10-02 20:00,广州,喜欢你,阿鼓,正佳大剧院
2024-10-03 20:00,广州,喜欢你,阿鼓,正佳大剧院
2024-10-05 20:00,广州,喜欢你,阿鼓,正佳大剧院
2024-10-07 20:00,广州,喜欢你,阿鼓,正佳大剧院
2024-11-29 20:00,广州,这里冬天不下雪,夏晓雪,正佳大剧院
2024-11-30 15:00,广州,这里冬天不下雪,夏晓雪,正佳大剧院
2024-11-30 20:00,广州,这里冬天不下雪,夏晓雪,正佳大剧院
2025-06-19 19:30,成都,喜欢你,阿鼓,成都高新中演大剧院多功能剧场
2025-06-21 19:30,重庆,喜欢你,阿鼓,涪陵大剧院
2025-06-25 19:35,宝鸡,喜欢你,阿鼓,宝鸡大剧院
2025-06-28 19:30,郑州,喜欢你,阿鼓,郑州大剧院歌舞剧场
2025-07-01 19:30,北京,喜欢你,阿鼓,北京保利剧院
2025-07-13 19:30,杭州,喜欢你,阿鼓,运河大剧院歌剧厅
2025-07-16 19:30,金华,喜欢你,阿鼓,中国婺剧院大剧场
2025-07-18 19:30,台州,喜欢你,阿鼓,仙居永安剧院
2025-07-25 19:30,汕头,喜欢你,阿鼓,汕头艺都大剧院
2025-09-29 20:00,珠海,喜欢你,阿鼓,珠海金湾艺术中心·大剧院(A馆)
2025-10-15 20:00,深圳,喜欢你,阿鼓,南山文体中心剧院大剧院
2025-10-28 19:30,广州,喜欢你,阿鼓,正佳大剧院
2025-10-29 19:30,广州,喜欢你,阿鼓,正佳大剧院
2025-12-06 19:30,佛山,喜欢你,阿鼓,佛山粤剧院大剧场
2025-12-19 21:00,乌鲁木齐,喜欢你,阿鼓,乌鲁木齐大剧院观演厅
2025-12-20 21:00,乌鲁木齐,喜欢你,阿鼓,乌鲁木齐大剧院观演厅
2026-04-24 20:00,柳州,喜欢你,阿鼓,柳州文化艺术中心大剧场
2026-04-25 20:00,柳州,喜欢你,阿鼓,柳州文化艺术中心大剧场
2026-05-15 14:00,广州,连载·1978,云清,广东艺术剧院
2026-05-15 19:30,广州,连载·1978,云清,广东艺术剧院
2026-05-22 19:30,广州,喜欢你,阿鼓,广州花都大剧院
2026-05-23 19:30,广州,喜欢你,阿鼓,广州花都大剧院
2026-06-12 19:30,广州,喜欢你,阿鼓,广州南方剧院
2026-06-13 15:00,广州,喜欢你,阿鼓,广州南方剧院
2026-07-01 19:30,广州,连载·1978,云清,广州大剧院歌剧厅
2026-07-24 20:00,深圳,喜欢你,阿鼓,安托山公共文化中心大剧场
2026-07-31 19:30,赣州,喜欢你,阿鼓,赣州大剧院
2026-08-07 19:30,嘉兴,喜欢你,阿鼓,嘉兴大剧院大剧场
2026-08-08 19:30,嘉兴,喜欢你,阿鼓,嘉兴大剧院大剧场
2026-08-11 19:30,上海,喜欢你,阿鼓,大零号湾文化艺术中心
2026-08-12 19:30,上海,喜欢你,阿鼓,大零号湾文化艺术中心
2026-08-16 19:00,大连,喜欢你,阿鼓,大连开发区大剧院
2026-08-19 19:00,大庆,喜欢你,阿鼓,大庆歌剧院
2026-08-25 19:30,德州,喜欢你,阿鼓,德州大剧院
2026-08-26 19:30,德州,喜欢你,阿鼓,德州大剧院
2026-08-29 19:30,北京,喜欢你,阿鼓,顺义大剧院
2026-08-30 14:30,北京,喜欢你,阿鼓,顺义大剧院
