时间,城市,音乐剧,角色,剧院
2023-06-17 14:30,上海,白夜追凶,周舒桐,云峰剧院
2023-06-17 19:30,上海,白夜追凶,周舒桐,云峰剧院
2023-06-23 19:30,上海,白夜追凶,周舒桐,云峰剧院
2023-06-24 14:30,上海,白夜追凶,周舒桐,云峰剧院
2023-06-24 19:30,上海,白夜追凶,周舒桐,云峰剧院
2023-09-22 19:30,北京,将进酒,李月圆,世纪剧院
2023-09-24 19:30,北京,将进酒,李月圆,世纪剧院
2023-10-03 19:30,上海,将进酒,李月圆,上海大剧院大剧场
2023-10-05 19:30,上海,将进酒,李月圆,上海大剧院大剧场
2023-12-01 19:30,成都,将进酒,李月圆,四川大剧院大剧场
2023-12-02 14:00,成都,将进酒,李月圆,四川大剧院大剧场
2023-12-03 19:30,成都,将进酒,李月圆,四川大剧院大剧场
2023-12-08 19:30,杭州,将进酒,李月圆,杭州大剧院(歌剧院)
2023-12-09 14:00,杭州,将进酒,李月圆,杭州大剧院(歌剧院)
2023-12-10 19:30,杭州,将进酒,李月圆,杭州大剧院(歌剧院)
2023-12-15 19:30,南京,将进酒,李月圆,南京保利大剧院大剧场
2023-12-16 14:00,南京,将进酒,李月圆,南京保利大剧院大剧场
2023-12-17 19:30,南京,将进酒,李月圆,南京保利大剧院大剧场
2023-12-22 19:30,武汉,将进酒,李月圆,琴台大剧院
2023-12-23 14:00,武汉,将进酒,李月圆,琴台大剧院
2023-12-24 19:30,武汉,将进酒,李月圆,琴台大剧院
2024-04-18 19:30,上海,将进酒,李月圆,上海大剧院大剧场
2024-04-19 19:30,上海,将进酒,李月圆,上海大剧院大剧场
2024-05-03 19:30,杭州,将进酒,李月圆,杭州大剧院(歌剧院)
2024-05-04 14:00,杭州,将进酒,李月圆,杭州大剧院(歌剧院)
2024-05-05 14:00,杭州,将进酒,李月圆,杭州大剧院(歌剧院)
2024-06-28 19:30,厦门,将进酒,李月圆,闽南大戏院大剧场
2024-06-29 19:30,厦门,将进酒,李月圆,闽南大戏院大剧场
2024-06-30 14:30,厦门,将进酒,李月圆,闽南大戏院大剧场
2024-07-05 19:30,长沙,将进酒,李月圆,梅溪湖国际文化艺术中心大剧院大剧场
2024-07-06 14:00,长沙,将进酒,李月圆,梅溪湖国际文化艺术中心大剧院大剧场
2024-07-06 19:30,长沙,将进酒,李月圆,梅溪湖国际文化艺术中心大剧院大剧场
2024-07-07 14:00,长沙,将进酒,李月圆,梅溪湖国际文化艺术中心大剧院大剧场
2024-07-07 19:30,长沙,将进酒,李月圆,梅溪湖国际文化艺术中心大剧院大剧场
2024-08-03 14:00,北京,将进酒,李月圆,天桥艺术中心大剧场
