时间,城市,音乐剧,角色,剧院
2022-12-24 14:30,北京,致命旋律,科伦,开心麻花A66剧场
2022-12-24 19:30,北京,致命旋律,科伦,开心麻花A66剧场
2022-12-25 14:30,北京,致命旋律,科伦,开心麻花A66剧场
2022-12-25 19:30,北京,致命旋律,科伦,开心麻花A66剧场
2022-12-31 14:30,上海,阴天,神秘男子,上海共舞台
2023-01-01 14:30,上海,阴天,神秘男子,上海共舞台
2023-01-01 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-01-02 19:30,上海,阴天,神秘男子,上海共舞台
2023-01-03 19:30,上海,阴天,神秘男子,上海共舞台
2023-01-04 19:30,上海,阴天,神秘男子,上海共舞台
2023-01-05 19:30,上海,阴天,神秘男子,上海共舞台
2023-01-06 19:30,上海,阴天,神秘男子,上海共舞台
2023-01-07 14:30,上海,阴天,神秘男子,上海共舞台
2023-01-07 19:30,上海,阴天,神秘男子,上海共舞台
2023-01-08 19:30,上海,阴天,神秘男子,上海共舞台
2023-01-13 19:30,北京,致命旋律,科伦,开心麻花A66剧场
2023-01-14 14:30,北京,致命旋律,科伦,开心麻花A66剧场
2023-01-14 19:30,北京,致命旋律,科伦,开心麻花A66剧场
2023-01-15 14:30,北京,致命旋律,科伦,开心麻花A66剧场
2023-01-15 19:30,北京,致命旋律,科伦,开心麻花A66剧场
2023-02-10 19:30,上海,小说,格雷·亨特,人民大舞台
2023-02-11 14:30,上海,小说,格雷·亨特,人民大舞台
2023-02-11 19:30,上海,小说,格雷·亨特,人民大舞台
2023-02-12 19:30,上海,危险游戏,理查德,上海共舞台
2023-02-14 19:30,上海,小说,格雷·亨特,人民大舞台
2023-02-17 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-02-18 14:30,上海,小说,格雷·亨特,人民大舞台
2023-02-18 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-02-19 14:30,上海,小说,格雷·亨特,人民大舞台
2023-02-19 19:30,上海,小说,格雷·亨特,人民大舞台
2023-02-23 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-02-25 14:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-02-25 19:30,上海,小说,格雷·亨特,人民大舞台
2023-02-26 14:30,上海,小说,格雷·亨特,人民大舞台
2023-02-26 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-02-28 19:30,上海,小说,格雷·亨特,人民大舞台
2023-03-04 19:30,上海,小说,格雷·亨特,人民大舞台
2023-03-05 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-03-11 19:30,北京,致命旋律,科伦,开心麻花磁剧场
2023-03-12 19:30,北京,致命旋律,科伦,开心麻花磁剧场
2023-03-18 14:30,北京,致命旋律,科伦,开心麻花磁剧场
2023-03-19 19:30,北京,致命旋律,科伦,开心麻花磁剧场
2023-03-25 19:30,北京,致命旋律,科伦,开心麻花磁剧场
2023-03-31 19:30,北京,致命旋律,科伦,开心麻花磁剧场
2023-04-01 19:30,北京,致命旋律,科伦,开心麻花磁剧场
2023-04-05 19:30,北京,致命旋律,科伦,开心麻花磁剧场
2023-04-07 19:30,北京,致命旋律,科伦,开心麻花磁剧场
2023-04-08 19:30,北京,致命旋律,科伦,开心麻花磁剧场
2023-04-29 14:30,北京,觉醒年代,李大钊,世纪剧院
2023-04-29 19:30,北京,觉醒年代,李大钊,世纪剧院
2023-04-30 19:30,北京,觉醒年代,李大钊,世纪剧院
2023-05-01 14:30,北京,觉醒年代,李大钊,世纪剧院
2023-05-07 14:30,北京,觉醒年代,李大钊,世纪剧院
2023-05-20 14:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-05-20 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-05-21 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-05-26 19:30,北京,致命旋律,科伦,开心麻花磁剧场
2023-05-27 19:30,北京,致命旋律,科伦,开心麻花磁剧场
2023-05-28 14:30,北京,致命旋律,科伦,开心麻花磁剧场
2023-06-09 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-06-10 19:30,上海,致命旋律,科伦,长江剧场黑匣子
2023-06-18 19:30,上海,银河铁道之夜,康贝瑞拉,上海共舞台
2023-06-22 19:30,北京,觉醒年代,李大钊,世纪剧院
2023-06-24 19:30,北京,觉醒年代,李大钊,世纪剧院
2023-06-28 19:30,北京,觉醒年代,李大钊,世纪剧院
2023-07-01 19:30,北京,觉醒年代,李大钊,世纪剧院
2023-07-03 19:30,上海,银河铁道之夜,康贝瑞拉,上海共舞台
2023-07-04 19:30,上海,银河铁道之夜,康贝瑞拉,上海共舞台
