时间,城市,音乐剧,角色,剧院
2025-07-26 14:30,武汉,怪物,韦恩,联创艺空间2号·寻境剧场
2025-07-27 14:30,武汉,怪物,韦恩,联创艺空间2号·寻境剧场
2025-08-24 14:30,武汉,怪物,韦恩,联创艺空间2号·寻境剧场
2025-09-06 14:30,上海,末日迷途,海曼,星空间8808号·涵金剧场
2025-09-12 19:30,上海,末日迷途,海曼,星空间8808号·涵金剧场
2025-09-13 19:30,上海,末日迷途,海曼,星空间8808号·涵金剧场
2025-09-19 19:30,武汉,怪物,韦恩,联创艺空间2号·寻境剧场
2025-10-01 19:30,武汉,怪物,韦恩,联创艺空间2号·寻境剧场
2025-10-02 14:30,武汉,嗜血博士,爱德华,联创艺空间1号·心境剧场
2025-10-03 14:30,武汉,嗜血博士,爱德华,联创艺空间1号·心境剧场
2025-10-03 19:30,武汉,怪物,韦恩,联创艺空间2号·寻境剧场
2025-10-24 19:30,武汉,怪物,韦恩,联创艺空间2号·寻境剧场
2025-10-25 14:30,武汉,怪物,韦恩,联创艺空间2号·寻境剧场
2025-11-08 14:30,上海,怪物,韦恩,星空间18号·谜剧场
2025-11-14 19:30,武汉,怪物,韦恩,联创艺空间2号·寻境剧场
2025-11-23 14:30,上海,怪物,韦恩,星空间18号·谜剧场
2025-12-07 15:00,武汉,怪物,韦恩,联创艺空间2号·寻境剧场
2025-12-21 15:00,武汉,嗜血博士,爱德华,联创艺空间1号·心境剧场
2025-12-27 19:30,武汉,怪物,韦恩,联创艺空间2号·寻境剧场
2026-01-01 14:30,武汉,怪物,韦恩,联创艺空间2号·寻境剧场
2026-01-11 14:30,武汉,怪物,韦恩,联创艺空间2号·寻境剧场
2026-01-23 19:30,武汉,怪物,韦恩,联创艺空间2号·寻境剧场
