时间,城市,音乐剧,角色,剧院
2023-07-28 19:30,北京,超时空同居,多功能人,天桥艺术中心中剧场
2023-07-29 14:30,北京,超时空同居,多功能人,天桥艺术中心中剧场
2023-07-29 19:30,北京,超时空同居,多功能人,天桥艺术中心中剧场
2023-09-15 19:30,上海,超时空同居,多功能人,上剧场
2023-09-16 14:30,上海,超时空同居,多功能人,上剧场
2023-09-16 19:30,上海,超时空同居,多功能人,上剧场
2023-09-17 14:30,上海,超时空同居,多功能人,上剧场
2023-09-17 19:30,上海,超时空同居,多功能人,上剧场
2023-12-28 19:30,上海,玻璃猫鱼和科里奥利效应,关怀,上音歌剧院歌剧厅
2023-12-29 18:30,上海,玻璃猫鱼和科里奥利效应,关怀,上音歌剧院歌剧厅
2023-12-30 18:30,上海,玻璃猫鱼和科里奥利效应,关怀,上音歌剧院歌剧厅
2023-12-31 18:30,上海,玻璃猫鱼和科里奥利效应,关怀,上音歌剧院歌剧厅
2024-01-04 19:30,上海,玻璃猫鱼和科里奥利效应,关怀,上音歌剧院歌剧厅
2024-01-05 18:30,上海,玻璃猫鱼和科里奥利效应,关怀,上音歌剧院歌剧厅
2024-01-06 14:00,上海,玻璃猫鱼和科里奥利效应,关怀,上音歌剧院歌剧厅
2024-01-06 18:30,上海,玻璃猫鱼和科里奥利效应,关怀,上音歌剧院歌剧厅
2024-01-07 14:00,上海,玻璃猫鱼和科里奥利效应,关怀,上音歌剧院歌剧厅
