时间,城市,音乐剧,角色,剧院
2023-08-13 19:30,成都,致命旋律,科伦,成都开心麻花9剧场
2023-08-19 19:30,成都,致命旋律,科伦,成都开心麻花9剧场
2023-08-26 14:30,成都,致命旋律,科伦,成都开心麻花9剧场
2023-08-27 19:30,成都,致命旋律,科伦,成都开心麻花9剧场
2023-09-02 14:30,成都,致命旋律,科伦,成都开心麻花9剧场
2023-09-03 19:30,成都,致命旋律,科伦,成都开心麻花9剧场
2023-09-08 19:30,成都,致命旋律,科伦,成都开心麻花9剧场
2023-09-09 19:30,成都,致命旋律,科伦,成都开心麻花9剧场
2023-09-15 19:30,成都,致命旋律,科伦,成都开心麻花9剧场
2023-09-16 19:30,成都,致命旋律,科伦,成都开心麻花9剧场
2023-09-22 19:30,成都,致命旋律,科伦,成都开心麻花9剧场
2023-09-23 14:30,成都,致命旋律,科伦,成都开心麻花9剧场
2023-09-29 19:30,成都,致命旋律,科伦,成都开心麻花9剧场
2023-09-30 19:30,成都,致命旋律,科伦,成都开心麻花9剧场
2023-10-02 19:30,成都,致命旋律,科伦,成都开心麻花9剧场
2023-12-15 19:30,成都,致命旋律,科伦,成都开心麻花9剧场
2023-12-16 19:30,成都,致命旋律,科伦,成都开心麻花9剧场
2023-12-23 19:30,成都,致命旋律,科伦,成都开心麻花9剧场
2023-12-25 19:30,成都,致命旋律,科伦,成都开心麻花9剧场
2024-01-12 19:30,成都,致命旋律,科伦,成都开心麻花9剧场
2024-01-20 19:30,成都,致命旋律,科伦,成都开心麻花9剧场
2024-01-27 19:30,成都,致命旋律,科伦,成都开心麻花9剧场
2024-03-08 19:30,成都,致命旋律,科伦,成都开心麻花9剧场
2024-03-09 19:30,成都,致命旋律,科伦,成都开心麻花9剧场
2024-03-16 19:30,成都,致命旋律,科伦,成都开心麻花9剧场
2024-04-04 19:30,成都,双面奇才,神秘人,四川歌舞大剧院
2024-04-05 19:30,成都,双面奇才,神秘人,四川歌舞大剧院
2024-05-02 19:30,成都,灯塔,霍普,西部文化产业中心·鲸剧场
2024-05-04 19:30,成都,灯塔,霍普,西部文化产业中心·鲸剧场
2024-05-12 14:30,成都,灯塔,霍普,西部文化产业中心·鲸剧场
2024-06-10 14:30,成都,灯塔,霍普,西部文化产业中心·鲸剧场
2024-07-13 19:30,成都,灯塔,霍普,西部文化产业中心·鲸剧场
