时间,城市,音乐剧,角色,剧院
2023-05-26 19:30,上海,春上海1949,戴维,上音歌剧院歌剧厅
2023-05-28 19:30,上海,春上海1949,戴维,上音歌剧院歌剧厅
2023-07-19 19:30,北京,春上海1949,戴维,天桥艺术中心中剧场
2023-07-20 19:30,北京,春上海1949,戴维,天桥艺术中心中剧场
2023-08-04 19:30,上海,摇滚年代,Ensemble,人民大舞台
2023-08-05 14:30,上海,摇滚年代,Ensemble,人民大舞台
2023-08-05 19:30,上海,摇滚年代,Ensemble,人民大舞台
2023-08-06 14:30,上海,摇滚年代,Ensemble,人民大舞台
2023-08-06 19:30,上海,摇滚年代,Ensemble,人民大舞台
2023-08-09 19:30,上海,摇滚年代,Ensemble,人民大舞台
2023-11-18 19:30,西安,沉默的真相,赵铁民,西安广电大剧院
2023-11-19 19:30,西安,沉默的真相,赵铁民,西安广电大剧院
2023-11-24 19:30,石家庄,沉默的真相,赵铁民,河北省艺术中心大剧院
2023-11-25 19:30,石家庄,沉默的真相,赵铁民,河北省艺术中心大剧院
2023-12-16 14:30,上海,小说,休·戴克,星空间115号·缪时客小剧场
2023-12-23 19:30,上海,小说,休·戴克,星空间115号·缪时客小剧场
2024-01-20 19:30,上海,小说,休·戴克,星空间115号·缪时客小剧场
2024-01-21 14:30,上海,小说,休·戴克,星空间115号·缪时客小剧场
2024-02-14 19:30,上海,小说,休·戴克,星空间115号·缪时客小剧场
2024-03-30 19:30,上海,小说,休·戴克,星空间115号·缪时客小剧场
2024-04-05 14:30,上海,小说,休·戴克,星空间115号·缪时客小剧场
2024-05-03 14:30,上海,小说,休·戴克,星空间115号·缪时客小剧场
2024-06-15 19:30,上海,小说,休·戴克,星空间115号·缪时客小剧场
2024-08-30 19:30,上海,小说,休·戴克,星空间115号·缪时客小剧场
2025-01-24 19:30,上海,小说,休·戴克,星空间115号·缪时客小剧场
