时间,城市,音乐剧,角色,剧院
2022-02-25 19:30,南京,南唐后主,周女英,南京保利大剧院大剧场
2022-02-26 19:30,南京,南唐后主,周女英,南京保利大剧院大剧场
2022-07-30 19:30,青岛,南唐后主,周女英,青岛凤凰之声大剧院(西海岸新区)
2022-07-31 14:30,青岛,南唐后主,周女英,青岛凤凰之声大剧院(西海岸新区)
2022-08-13 20:00,福州,南唐后主,周女英,福州海峡文化艺术中心-歌剧厅
2022-08-14 20:00,福州,南唐后主,周女英,福州海峡文化艺术中心-歌剧厅
2022-08-18 19:30,东莞,南唐后主,周女英,东莞玉兰大剧院
2022-08-19 19:30,东莞,南唐后主,周女英,东莞玉兰大剧院
2022-08-26 19:30,杭州,南唐后主,周女英,运河大剧院歌剧厅
2022-08-27 19:30,杭州,南唐后主,周女英,运河大剧院歌剧厅
2022-11-25 19:30,马鞍山,南唐后主,周女英,马鞍山大剧院
2022-12-02 19:30,宁波,南唐后主,周女英,宁波文化广场大剧院
2022-12-03 19:30,宁波,南唐后主,周女英,宁波文化广场大剧院
2022-12-09 20:00,厦门,南唐后主,周女英,嘉庚剧院
2022-12-10 20:00,厦门,南唐后主,周女英,嘉庚剧院
2023-01-06 19:30,上海,蝶变,曼曼,上海大剧院New Box 小剧场
2023-01-07 14:00,上海,蝶变,曼曼,上海大剧院New Box 小剧场
2023-01-08 14:00,上海,南唐后主,周女英,艺海剧院大剧场
2023-01-12 19:30,上海,南唐后主,周女英,艺海剧院大剧场
2023-01-13 19:30,上海,蝶变,曼曼,上海大剧院New Box 小剧场
2023-01-14 14:00,上海,南唐后主,周女英,艺海剧院大剧场
2023-01-14 19:30,上海,南唐后主,周女英,艺海剧院大剧场
2023-01-15 14:00,上海,南唐后主,周女英,艺海剧院大剧场
2023-02-10 19:30,重庆,南唐后主,周女英,施光南大剧院
2023-02-11 19:30,重庆,南唐后主,周女英,施光南大剧院
2023-02-17 19:30,成都,南唐后主,周女英,成都城市音乐厅歌剧厅
2023-02-18 19:30,成都,南唐后主,周女英,成都城市音乐厅歌剧厅
