时间,城市,音乐剧,角色,剧院
2023-02-14 19:30,成都,醉后赢家,杜海燕,开心麻花·环球汇剧场
2023-02-17 19:30,成都,醉后赢家,杜海燕,开心麻花·环球汇剧场
2023-02-18 19:30,成都,醉后赢家,杜海燕,开心麻花·环球汇剧场
2023-02-19 19:30,成都,醉后赢家,杜海燕,开心麻花·环球汇剧场
2023-04-13 20:00,深圳,醉后赢家,杜海燕,深圳开心麻花红山剧场大剧场
2023-04-14 20:00,深圳,醉后赢家,杜海燕,深圳开心麻花红山剧场大剧场
2023-04-15 15:00,深圳,醉后赢家,杜海燕,深圳开心麻花红山剧场大剧场
2023-04-15 20:00,深圳,醉后赢家,杜海燕,深圳开心麻花红山剧场大剧场
2023-04-16 15:00,深圳,醉后赢家,杜海燕,深圳开心麻花红山剧场大剧场
2023-08-25 19:30,成都,致命旋律,艾芙琳,成都开心麻花9剧场
2023-08-27 19:30,成都,致命旋律,艾芙琳,成都开心麻花9剧场
2023-09-01 19:30,成都,致命旋律,艾芙琳,成都开心麻花9剧场
2023-09-03 19:30,成都,致命旋律,艾芙琳,成都开心麻花9剧场
2023-09-08 20:00,福州,醉后赢家,杜海燕,福州海峡文化艺术中心-歌剧厅
2023-09-09 15:00,福州,醉后赢家,杜海燕,福州海峡文化艺术中心-歌剧厅
2023-09-09 20:00,福州,醉后赢家,杜海燕,福州海峡文化艺术中心-歌剧厅
2023-09-15 19:30,成都,致命旋律,艾芙琳,成都开心麻花9剧场
2023-09-16 14:30,成都,致命旋律,艾芙琳,成都开心麻花9剧场
2023-09-16 19:30,成都,致命旋律,艾芙琳,成都开心麻花9剧场
2023-09-22 19:30,成都,致命旋律,艾芙琳,成都开心麻花9剧场
2023-09-24 19:30,成都,致命旋律,艾芙琳,成都开心麻花9剧场
2023-09-29 19:30,厦门,醉后赢家,杜海燕,厦门艺术剧院
2023-09-30 19:30,厦门,醉后赢家,杜海燕,厦门艺术剧院
2023-10-02 19:30,成都,致命旋律,艾芙琳,成都开心麻花9剧场
2023-10-03 19:30,成都,致命旋律,艾芙琳,成都开心麻花9剧场
2023-10-04 19:30,成都,致命旋律,艾芙琳,成都开心麻花9剧场
2023-10-05 14:30,成都,致命旋律,艾芙琳,成都开心麻花9剧场
2023-10-14 19:30,成都,致命旋律,艾芙琳,成都开心麻花9剧场
2023-11-18 19:30,成都,致命旋律,艾芙琳,成都开心麻花9剧场
2023-11-19 14:30,成都,致命旋律,艾芙琳,成都开心麻花9剧场
2023-12-09 15:00,福州,醉后赢家,杜海燕,福州海峡文化艺术中心-歌剧厅
2023-12-09 20:00,福州,醉后赢家,杜海燕,福州海峡文化艺术中心-歌剧厅
2023-12-10 15:00,福州,醉后赢家,杜海燕,福州海峡文化艺术中心-歌剧厅
2023-12-23 19:30,成都,致命旋律,艾芙琳,成都开心麻花9剧场
2023-12-24 19:30,成都,致命旋律,艾芙琳,成都开心麻花9剧场
2023-12-30 19:30,成都,致命旋律,艾芙琳,成都开心麻花9剧场
2023-12-31 19:00,成都,致命旋律,艾芙琳,成都开心麻花9剧场
2024-03-08 19:30,成都,致命旋律,艾芙琳,成都开心麻花9剧场
2024-03-09 19:30,成都,致命旋律,艾芙琳,成都开心麻花9剧场
2024-03-15 19:30,成都,致命旋律,艾芙琳,成都开心麻花9剧场
2024-03-16 19:30,成都,致命旋律,艾芙琳,成都开心麻花9剧场
2024-03-17 15:30,成都,致命旋律,艾芙琳,成都开心麻花9剧场
