时间,城市,音乐剧,角色,剧院
2022-12-25 14:30,北京,致命旋律,尼古拉斯,开心麻花A66剧场
2022-12-30 19:30,北京,致命旋律,尼古拉斯,开心麻花A66剧场
2022-12-31 14:30,北京,致命旋律,尼古拉斯,开心麻花A66剧场
2022-12-31 19:30,北京,致命旋律,尼古拉斯,开心麻花A66剧场
2023-01-01 14:30,北京,致命旋律,尼古拉斯,开心麻花A66剧场
2023-01-01 19:30,北京,致命旋律,尼古拉斯,开心麻花A66剧场
2023-01-02 14:30,北京,致命旋律,尼古拉斯,开心麻花A66剧场
2023-01-02 19:30,北京,致命旋律,尼古拉斯,开心麻花A66剧场
2023-01-07 14:30,北京,爱，死机了,方崇心,A33剧场
2023-01-08 19:30,北京,爱，死机了,方崇心,A33剧场
2023-01-14 19:30,长沙,阿波罗尼亚,Oscar,阿波罗尼亚·长沙馆
2023-01-15 19:30,长沙,阿波罗尼亚,Oscar,阿波罗尼亚·长沙馆
2023-02-07 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-02-08 19:30,广州,阿波罗尼亚,Oscar,阿波罗尼亚·广州馆
2023-02-10 19:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-02-11 14:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-02-11 19:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-02-12 14:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-02-12 19:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-02-17 19:30,北京,爱，死机了,方崇心,A33剧场
2023-02-18 14:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-02-21 19:30,上海,桑塔露琪亚,Chi Chi,星空间6号·一台好戏小剧场
2023-02-24 19:30,上海,致命旋律,尼古拉斯,长江剧场黑匣子
2023-02-25 14:30,上海,致命旋律,尼古拉斯,长江剧场黑匣子
2023-03-03 19:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-03-04 14:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-03-04 19:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-03-08 19:30,北京,爱，死机了,方崇心,A33剧场
2023-03-09 19:30,北京,爱，死机了,方崇心,A33剧场
2023-03-10 19:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-03-11 19:30,北京,爱，死机了,方崇心,A33剧场
2023-03-12 14:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-03-18 19:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-03-19 14:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-03-19 19:30,北京,爱，死机了,方崇心,A33剧场
2023-03-24 19:30,长沙,阿波罗尼亚,Oscar,阿波罗尼亚·长沙馆
2023-03-25 19:30,长沙,阿波罗尼亚,Oscar,阿波罗尼亚·长沙馆
2023-04-01 14:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-04-02 14:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-04-05 14:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-04-07 19:30,杭州,爱，死机了,方崇心,杭州开心麻花剧场
2023-04-08 19:30,杭州,爱，死机了,方崇心,杭州开心麻花剧场
2023-04-09 14:30,杭州,爱，死机了,方崇心,杭州开心麻花剧场
2023-04-14 19:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-04-15 19:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-04-29 19:30,长沙,阿波罗尼亚,Oscar,阿波罗尼亚·长沙馆
2023-04-30 19:30,长沙,阿波罗尼亚,Oscar,阿波罗尼亚·长沙馆
2023-05-01 19:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-05-02 14:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-05-03 14:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-05-03 19:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-05-13 14:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-05-14 19:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-05-20 19:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-05-26 19:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-05-27 19:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-05-28 14:30,北京,致命旋律,尼古拉斯,开心麻花磁剧场
2023-06-16 19:30,北京,迷雾山庄,阿明,A33剧场
2023-06-18 19:30,北京,迷雾山庄,阿明,A33剧场
2023-06-22 14:30,北京,迷雾山庄,阿明,A33剧场
